,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
211,2020-03-19,Chhattisgarh,1,0,0,0,,,,
233,2020-03-20,Chhattisgarh,1,0,0,0,,0.0,0.0,0.0
256,2020-03-21,Chhattisgarh,1,0,0,0,,0.0,0.0,0.0
280,2020-03-22,Chhattisgarh,1,0,0,0,,0.0,0.0,0.0
304,2020-03-23,Chhattisgarh,1,0,0,0,,0.0,0.0,0.0
328,2020-03-24,Chhattisgarh,1,0,0,0,,0.0,0.0,0.0
353,2020-03-25,Chhattisgarh,3,0,0,0,,2.0,0.0,0.0
381,2020-03-26,Chhattisgarh,6,0,0,0,,3.0,0.0,0.0
409,2020-03-27,Chhattisgarh,6,0,0,0,,0.0,0.0,0.0
437,2020-03-28,Chhattisgarh,7,0,0,0,,1.0,0.0,0.0
465,2020-03-29,Chhattisgarh,7,0,0,0,,0.0,0.0,0.0
493,2020-03-30,Chhattisgarh,8,0,0,0,,1.0,0.0,0.0
522,2020-03-31,Chhattisgarh,9,2,0,0,,1.0,0.0,2.0
552,2020-04-01,Chhattisgarh,9,2,0,0,,0.0,0.0,0.0
583,2020-04-02,Chhattisgarh,9,3,0,0,1232.0,0.0,0.0,1.0
614,2020-04-03,Chhattisgarh,9,3,0,0,1232.0,0.0,0.0,0.0
645,2020-04-04,Chhattisgarh,10,3,0,0,1232.0,1.0,0.0,0.0
676,2020-04-05,Chhattisgarh,10,8,0,0,1232.0,0.0,0.0,5.0
707,2020-04-06,Chhattisgarh,10,8,0,0,1232.0,0.0,0.0,0.0
740,2020-04-07,Chhattisgarh,10,9,0,0,1232.0,0.0,0.0,1.0
773,2020-04-08,Chhattisgarh,10,9,0,0,1232.0,0.0,0.0,0.0
806,2020-04-09,Chhattisgarh,18,9,0,0,1232.0,8.0,0.0,0.0
840,2020-04-10,Chhattisgarh,18,9,0,0,3473.0,0.0,0.0,0.0
874,2020-04-11,Chhattisgarh,25,9,0,0,3858.0,7.0,0.0,0.0
908,2020-04-12,Chhattisgarh,31,10,0,0,3945.0,6.0,0.0,1.0
942,2020-04-13,Chhattisgarh,31,10,0,0,4377.0,0.0,0.0,0.0
977,2020-04-14,Chhattisgarh,33,13,0,0,4812.0,2.0,0.0,3.0
1012,2020-04-15,Chhattisgarh,33,17,0,0,5122.0,0.0,0.0,4.0
1047,2020-04-16,Chhattisgarh,36,23,0,0,5519.0,3.0,0.0,6.0
1082,2020-04-17,Chhattisgarh,36,24,0,0,5776.0,0.0,0.0,1.0
1117,2020-04-18,Chhattisgarh,36,25,0,0,5776.0,0.0,0.0,1.0
1152,2020-04-19,Chhattisgarh,36,25,0,0,6675.0,0.0,0.0,0.0
1187,2020-04-20,Chhattisgarh,36,25,0,0,7601.0,0.0,0.0,0.0
1222,2020-04-21,Chhattisgarh,36,25,0,0,8272.0,0.0,0.0,0.0
1257,2020-04-22,Chhattisgarh,36,28,0,0,9220.0,0.0,0.0,3.0
1292,2020-04-23,Chhattisgarh,36,30,0,0,10346.0,0.0,0.0,2.0
1327,2020-04-24,Chhattisgarh,36,30,0,0,11386.0,0.0,0.0,0.0
1362,2020-04-25,Chhattisgarh,37,32,0,0,12596.0,1.0,0.0,2.0
1397,2020-04-26,Chhattisgarh,37,32,0,0,13786.0,0.0,0.0,0.0
1432,2020-04-27,Chhattisgarh,37,32,0,0,14987.0,0.0,0.0,0.0
1467,2020-04-28,Chhattisgarh,38,34,0,0,15737.0,1.0,0.0,2.0
1502,2020-04-29,Chhattisgarh,38,34,0,0,16546.0,0.0,0.0,0.0
1537,2020-04-30,Chhattisgarh,40,36,0,0,17541.0,2.0,0.0,2.0
1572,2020-05-01,Chhattisgarh,43,36,0,0,18039.0,3.0,0.0,0.0
1607,2020-05-02,Chhattisgarh,43,36,0,0,18039.0,0.0,0.0,0.0
1642,2020-05-03,Chhattisgarh,57,36,0,0,19902.0,14.0,0.0,0.0
1677,2020-05-04,Chhattisgarh,58,36,0,0,19902.0,1.0,0.0,0.0
1713,2020-05-05,Chhattisgarh,59,36,0,0,21323.0,1.0,0.0,0.0
1749,2020-05-06,Chhattisgarh,59,36,0,0,22188.0,0.0,0.0,0.0
1785,2020-05-07,Chhattisgarh,59,36,0,0,22188.0,0.0,0.0,0.0
1821,2020-05-08,Chhattisgarh,59,38,0,0,23629.0,0.0,0.0,2.0
1857,2020-05-09,Chhattisgarh,59,43,0,0,24506.0,0.0,0.0,5.0
1893,2020-05-10,Chhattisgarh,59,49,0,0,25282.0,0.0,0.0,6.0
1929,2020-05-11,Chhattisgarh,59,53,0,0,25282.0,0.0,0.0,4.0
1965,2020-05-12,Chhattisgarh,59,54,0,0,27339.0,0.0,0.0,1.0
2001,2020-05-13,Chhattisgarh,59,55,0,0,28837.0,0.0,0.0,1.0
2037,2020-05-14,Chhattisgarh,60,56,0,0,29697.0,1.0,0.0,1.0
2073,2020-05-15,Chhattisgarh,66,56,0,0,31341.0,6.0,0.0,0.0
2109,2020-05-16,Chhattisgarh,67,58,0,0,32678.0,1.0,0.0,2.0
2145,2020-05-17,Chhattisgarh,85,59,0,0,32678.0,18.0,0.0,1.0
2181,2020-05-18,Chhattisgarh,95,59,0,0,36606.0,10.0,0.0,0.0
2217,2020-05-19,Chhattisgarh,100,59,0,0,39010.0,5.0,0.0,0.0
2254,2020-05-20,Chhattisgarh,114,59,0,0,39010.0,14.0,0.0,0.0
2291,2020-05-21,Chhattisgarh,128,59,0,0,45522.0,14.0,0.0,0.0
2328,2020-05-22,Chhattisgarh,172,62,0,0,48116.0,44.0,0.0,3.0
2365,2020-05-23,Chhattisgarh,214,64,0,0,49763.0,42.0,0.0,2.0
2402,2020-05-24,Chhattisgarh,252,64,0,0,49763.0,38.0,0.0,0.0
2439,2020-05-25,Chhattisgarh,292,67,0,0,55022.0,40.0,0.0,3.0
2476,2020-05-26,Chhattisgarh,360,79,0,0,57479.0,68.0,0.0,12.0
2513,2020-05-27,Chhattisgarh,364,83,0,0,59320.0,4.0,0.0,4.0
2550,2020-05-28,Chhattisgarh,398,83,0,0,61771.0,34.0,0.0,0.0
2587,2020-05-29,Chhattisgarh,415,100,1,0,63992.0,17.0,1.0,17.0
2624,2020-05-30,Chhattisgarh,447,102,1,0,66417.0,32.0,0.0,2.0
2661,2020-05-31,Chhattisgarh,498,114,1,0,69152.0,51.0,0.0,12.0
2698,2020-06-01,Chhattisgarh,547,121,1,0,70726.0,49.0,0.0,7.0
2735,2020-06-02,Chhattisgarh,562,130,2,0,73198.0,15.0,1.0,9.0
2772,2020-06-03,Chhattisgarh,626,170,2,0,76446.0,64.0,0.0,40.0
2809,2020-06-04,Chhattisgarh,773,206,2,0,78971.0,147.0,0.0,36.0
2846,2020-06-05,Chhattisgarh,863,231,2,0,81773.0,90.0,0.0,25.0
2883,2020-06-06,Chhattisgarh,923,259,4,0,85346.0,60.0,2.0,28.0
2920,2020-06-07,Chhattisgarh,1073,266,4,0,88896.0,150.0,0.0,7.0
2957,2020-06-08,Chhattisgarh,1197,335,4,0,92598.0,124.0,0.0,69.0
2994,2020-06-09,Chhattisgarh,1211,347,5,0,93059.0,14.0,1.0,12.0
3031,2020-06-10,Chhattisgarh,1262,351,6,0,94576.0,51.0,1.0,4.0
3068,2020-06-11,Chhattisgarh,1398,421,6,0,96230.0,136.0,0.0,70.0
3105,2020-06-12,Chhattisgarh,1445,544,6,0,98603.0,47.0,0.0,123.0
3142,2020-06-13,Chhattisgarh,1550,631,6,0,101554.0,105.0,0.0,87.0
3179,2020-06-14,Chhattisgarh,1671,719,9,0,103895.0,121.0,3.0,88.0
3216,2020-06-15,Chhattisgarh,1715,843,9,0,107172.0,44.0,0.0,124.0
3253,2020-06-16,Chhattisgarh,1784,934,9,0,110062.0,69.0,0.0,91.0
3290,2020-06-17,Chhattisgarh,1864,1099,9,0,113613.0,80.0,0.0,165.0
3327,2020-06-18,Chhattisgarh,1946,1202,9,0,116329.0,82.0,0.0,103.0
3364,2020-06-19,Chhattisgarh,2018,1305,10,0,120523.0,72.0,1.0,103.0
3401,2020-06-20,Chhattisgarh,2134,1368,11,0,123983.0,116.0,1.0,63.0
3438,2020-06-21,Chhattisgarh,2255,1421,11,0,126246.0,121.0,0.0,53.0
3475,2020-06-22,Chhattisgarh,2302,1487,12,0,129731.0,47.0,1.0,66.0
3512,2020-06-23,Chhattisgarh,2385,1527,12,0,133753.0,83.0,0.0,40.0
3549,2020-06-24,Chhattisgarh,2419,1601,12,0,137400.0,34.0,0.0,74.0
3586,2020-06-25,Chhattisgarh,2456,1729,12,0,142090.0,37.0,0.0,128.0
3623,2020-06-26,Chhattisgarh,2545,1885,13,0,144828.0,89.0,1.0,156.0
3660,2020-06-27,Chhattisgarh,2610,1937,13,0,152874.0,65.0,0.0,52.0
3697,2020-06-28,Chhattisgarh,2694,2062,13,0,154526.0,84.0,0.0,125.0
3734,2020-06-29,Chhattisgarh,2795,2150,13,0,156386.0,101.0,0.0,88.0
3771,2020-06-30,Chhattisgarh,2858,2250,13,0,160650.0,63.0,0.0,100.0
3808,2020-07-01,Chhattisgarh,2940,2303,14,0,163662.0,82.0,1.0,53.0
3845,2020-07-02,Chhattisgarh,3013,2362,14,0,166656.0,73.0,0.0,59.0
3882,2020-07-03,Chhattisgarh,3065,2414,14,0,177554.0,52.0,0.0,52.0
3919,2020-07-04,Chhattisgarh,3161,2526,14,0,179782.0,96.0,0.0,112.0
3956,2020-07-05,Chhattisgarh,3207,2578,14,0,182636.0,46.0,0.0,52.0
3993,2020-07-06,Chhattisgarh,3305,2644,14,0,185399.0,98.0,0.0,66.0
4030,2020-07-07,Chhattisgarh,3415,2728,14,0,189038.0,110.0,0.0,84.0
4067,2020-07-08,Chhattisgarh,3526,2835,14,0,191938.0,111.0,0.0,107.0
4104,2020-07-09,Chhattisgarh,3666,2903,15,0,196150.0,140.0,1.0,68.0
4141,2020-07-10,Chhattisgarh,3832,3028,17,0,200006.0,166.0,2.0,125.0
4178,2020-07-11,Chhattisgarh,3897,3070,17,0,204932.0,65.0,0.0,42.0
