,Date,State,Confirmed,Recovered,Deceased,Other,Tested,New_Confirmerd,New_Deaths,New_Recovered
0,2020-01-30,Kerala,1,0,0,0,,,,
2,2020-02-02,Kerala,2,0,0,0,,1.0,0.0,0.0
4,2020-02-03,Kerala,3,0,0,0,,1.0,0.0,0.0
6,2020-02-14,Kerala,3,3,0,0,,0.0,0.0,3.0
9,2020-03-02,Kerala,3,3,0,0,,0.0,0.0,0.0
13,2020-03-03,Kerala,3,3,0,0,,0.0,0.0,0.0
19,2020-03-04,Kerala,3,3,0,0,,0.0,0.0,0.0
26,2020-03-05,Kerala,3,3,0,0,,0.0,0.0,0.0
33,2020-03-06,Kerala,3,3,0,0,,0.0,0.0,0.0
40,2020-03-07,Kerala,3,3,0,0,,0.0,0.0,0.0
49,2020-03-08,Kerala,8,3,0,0,,5.0,0.0,0.0
60,2020-03-09,Kerala,9,3,0,0,,1.0,0.0,0.0
73,2020-03-10,Kerala,17,3,0,0,,8.0,0.0,0.0
86,2020-03-11,Kerala,17,3,0,0,,0.0,0.0,0.0
100,2020-03-12,Kerala,19,3,0,0,,2.0,0.0,0.0
114,2020-03-13,Kerala,22,3,0,0,,3.0,0.0,0.0
129,2020-03-14,Kerala,22,3,0,0,,0.0,0.0,0.0
144,2020-03-15,Kerala,24,3,0,0,,2.0,0.0,0.0
160,2020-03-16,Kerala,27,3,0,0,,3.0,0.0,0.0
177,2020-03-17,Kerala,27,3,0,0,,0.0,0.0,0.0
196,2020-03-18,Kerala,27,3,0,0,,0.0,0.0,0.0
218,2020-03-19,Kerala,28,3,0,0,,1.0,0.0,0.0
240,2020-03-20,Kerala,40,3,0,0,,12.0,0.0,0.0
263,2020-03-21,Kerala,52,3,0,0,,12.0,0.0,0.0
287,2020-03-22,Kerala,67,3,0,0,,15.0,0.0,0.0
311,2020-03-23,Kerala,95,3,0,0,,28.0,0.0,0.0
335,2020-03-24,Kerala,109,3,0,0,,14.0,0.0,0.0
361,2020-03-25,Kerala,118,3,0,0,,9.0,0.0,0.0
389,2020-03-26,Kerala,137,3,0,0,,19.0,0.0,0.0
417,2020-03-27,Kerala,176,3,0,0,,39.0,0.0,0.0
445,2020-03-28,Kerala,182,3,0,0,,6.0,0.0,0.0
473,2020-03-29,Kerala,202,20,1,0,,20.0,1.0,17.0
501,2020-03-30,Kerala,234,20,1,0,,32.0,0.0,0.0
531,2020-03-31,Kerala,241,24,2,0,,7.0,1.0,4.0
561,2020-04-01,Kerala,265,26,2,0,7965.0,24.0,0.0,2.0
592,2020-04-02,Kerala,286,28,2,0,8456.0,21.0,0.0,2.0
623,2020-04-03,Kerala,295,42,2,0,9139.0,9.0,0.0,14.0
654,2020-04-04,Kerala,306,50,2,0,9744.0,11.0,0.0,8.0
685,2020-04-05,Kerala,314,56,2,0,10221.0,8.0,0.0,6.0
716,2020-04-06,Kerala,327,59,2,0,10716.0,13.0,0.0,3.0
749,2020-04-07,Kerala,336,71,2,0,11232.0,9.0,0.0,12.0
782,2020-04-08,Kerala,345,84,2,0,11986.0,9.0,0.0,13.0
816,2020-04-09,Kerala,357,97,2,0,12710.0,12.0,0.0,13.0
850,2020-04-10,Kerala,364,124,2,0,13339.0,7.0,0.0,27.0
884,2020-04-11,Kerala,374,143,3,0,14163.0,10.0,1.0,19.0
918,2020-04-12,Kerala,376,179,3,0,14989.0,2.0,0.0,36.0
952,2020-04-13,Kerala,379,198,3,0,15683.0,3.0,0.0,19.0
987,2020-04-14,Kerala,387,211,3,0,16235.0,8.0,0.0,13.0
1022,2020-04-15,Kerala,388,218,3,0,16475.0,1.0,0.0,7.0
1057,2020-04-16,Kerala,395,245,3,0,17400.0,7.0,0.0,27.0
1092,2020-04-17,Kerala,396,255,3,0,18029.0,1.0,0.0,10.0
1127,2020-04-18,Kerala,400,257,3,0,18774.0,4.0,0.0,2.0
1162,2020-04-19,Kerala,402,270,3,0,19351.0,2.0,0.0,13.0
1197,2020-04-20,Kerala,408,291,3,0,19756.0,6.0,0.0,21.0
1232,2020-04-21,Kerala,427,307,3,0,20252.0,19.0,0.0,16.0
1267,2020-04-22,Kerala,438,308,3,0,20821.0,11.0,0.0,1.0
1302,2020-04-23,Kerala,448,316,3,0,21334.0,10.0,0.0,8.0
1337,2020-04-24,Kerala,451,331,4,0,21940.0,3.0,1.0,15.0
1372,2020-04-25,Kerala,458,338,4,0,22360.0,7.0,0.0,7.0
1407,2020-04-26,Kerala,469,342,4,0,22954.0,11.0,0.0,4.0
1442,2020-04-27,Kerala,482,355,4,0,24146.0,13.0,0.0,13.0
1477,2020-04-28,Kerala,486,359,4,0,24855.0,4.0,0.0,4.0
1512,2020-04-29,Kerala,496,369,4,0,25827.0,10.0,0.0,10.0
1547,2020-04-30,Kerala,498,383,4,0,27481.0,2.0,0.0,14.0
1582,2020-05-01,Kerala,498,392,4,0,29012.0,0.0,0.0,9.0
1617,2020-05-02,Kerala,500,400,4,0,33276.0,2.0,0.0,8.0
1652,2020-05-03,Kerala,500,401,4,0,34608.0,0.0,0.0,1.0
1687,2020-05-04,Kerala,500,462,4,0,35441.0,0.0,0.0,61.0
1723,2020-05-05,Kerala,503,462,4,0,36312.0,3.0,0.0,0.0
1759,2020-05-06,Kerala,503,469,4,0,37546.0,0.0,0.0,7.0
1795,2020-05-07,Kerala,503,474,4,0,38206.0,0.0,0.0,5.0
1831,2020-05-08,Kerala,504,484,4,0,39266.0,1.0,0.0,10.0
1867,2020-05-09,Kerala,506,485,4,0,40123.0,2.0,0.0,1.0
1903,2020-05-10,Kerala,513,489,4,0,41279.0,7.0,0.0,4.0
